Age,Income,CreditScore,Employment,Loan_Default
Middle,Low,Good,Salaried,Yes
Senior,High,Average,Self-Employed,No
Young,Medium,Poor,Salaried,No
Senior,High,Average,Self-Employed,Yes
Senior,Low,Poor,Self-Employed,Yes
Middle,Medium,Poor,Self-Employed,Yes
Young,Medium,Good,Salaried,No
Middle,Medium,Average,Salaried,No
Senior,High,Good,Salaried,No
Senior,Low,Good,Salaried,Yes
Senior,Low,Average,Salaried,No
Young,Low,Poor,Self-Employed,Yes
Young,Low,Average,Salaried,No
Middle,High,Average,Salaried,No
Young,Low,Poor,Self-Employed,Yes
Young,Low,Good,Self-Employed,Yes
Senior,Medium,Average,Salaried,No
Middle,High,Average,Self-Employed,Yes
Middle,Low,Poor,Salaried,Yes
Senior,Medium,Poor,Self-Employed,No
Middle,Medium,Good,Salaried,No
Middle,High,Poor,Salaried,Yes
Senior,High,Good,Self-Employed,No
Senior,Low,Good,Self-Employed,Yes
Young,Low,Average,Salaried,No
Young,Low,Average,Salaried,Yes
Senior,High,Good,Self-Employed,No
Middle,Medium,Average,Self-Employed,Yes
Senior,Low,Good,Salaried,No
Young,Low,Good,Salaried,Yes
Middle,High,Good,Salaried,No
Senior,Medium,Good,Salaried,Yes
Young,Medium,Average,Self-Employed,Yes
Middle,Low,Average,Self-Employed,Yes
Young,High,Average,Salaried,No
Senior,Low,Good,Salaried,No
Young,Medium,Average,Self-Employed,No
Middle,Medium,Poor,Self-Employed,No
Senior,Medium,Poor,Salaried,Yes
Young,High,Good,Self-Employed,No
Young,Low,Average,Self-Employed,No
Middle,Medium,Good,Self-Employed,No
Middle,High,Good,Salaried,No
Young,Low,Poor,Salaried,Yes
Young,High,Poor,Salaried,Yes
Middle,Low,Good,Self-Employed,No
Senior,Low,Average,Self-Employed,Yes
Senior,Medium,Average,Self-Employed,No
Senior,High,Average,Self-Employed,No
Middle,Low,Good,Salaried,Yes
Senior,Medium,Good,Salaried,No
Middle,High,Good,Self-Employed,No
Middle,Medium,Good,Self-Employed,Yes
Middle,Low,Poor,Salaried,Yes
Young,Medium,Poor,Salaried,Yes
Senior,Low,Poor,Self-Employed,Yes
Senior,Medium,Average,Self-Employed,No
Senior,Medium,Good,Salaried,Yes
Senior,Medium,Good,Salaried,Yes
Young,High,Poor,Self-Employed,No
Middle,Medium,Average,Salaried,No
Senior,High,Average,Salaried,Yes
Middle,High,Good,Self-Employed,No
Senior,Medium,Poor,Salaried,No
Young,High,Average,Self-Employed,Yes
Middle,High,Average,Salaried,No
Middle,Low,Poor,Salaried,Yes
Young,Low,Good,Self-Employed,Yes
Young,High,Poor,Salaried,Yes
Middle,High,Poor,Self-Employed,No
Young,High,Average,Salaried,No
Senior,Low,Average,Salaried,No
Young,High,Good,Self-Employed,No
Middle,High,Average,Salaried,Yes
Senior,Medium,Poor,Self-Employed,No
Middle,High,Average,Self-Employed,Yes
Middle,Low,Poor,Salaried,Yes
Young,High,Good,Self-Employed,No
Middle,Low,Good,Salaried,No
Young,Medium,Average,Salaried,No
Young,Medium,Average,Self-Employed,No
Middle,Low,Average,Salaried,No
Young,Medium,Good,Salaried,No
Young,High,Good,Salaried,No
Young,Medium,Good,Salaried,No
Middle,High,Poor,Self-Employed,Yes
Young,Medium,Good,Self-Employed,No
Middle,Low,Average,Salaried,No
Middle,Low,Average,Salaried,Yes
Young,Low,Average,Salaried,No
Senior,High,Poor,Self-Employed,No
Young,High,Good,Salaried,No
Senior,Medium,Good,Self-Employed,Yes
Young,Medium,Poor,Salaried,Yes
